Font Name,Foundry/Creator,Price,Styles
Proxima Soft,Mark Simonson,$29.00,48
Timeout,DearType,$20.00,4
P22 Underground™,P22,$24.95,76
Shentox,Emtype Foundry,$50.00,14
Karlie,DearType,$30.00,8
Narziss,Hubert Jocham Type,$39.00,15
Intervogue™,Miller Type Foundry,$25.99,28
Brandon Printed,HVD Fonts,$6.00,8
Havelock Complete,"XO, Pretty",$169.00,9
Frontage,Juri Zaech,$5.00,5
Arquitecta,Latinotype,$26.00,16
Cera Round Pro,TypeMates,$55.00,6
Brother 1816,TipoType,$19.00,32
Nimbus Sans Novus™,URW,$19.95,55
Branding,Latinotype,$39.00,14
Ridley Grotesk™,Radomir Tinkov,$25.00,18
Think Pink,Vlad Cristea,$16.00,2
Thirsty Rough,Yellow Design Studio,$5.00,21
Akko®,Linotype,$79.00,48
Gill Sans® Nova,Monotype ,$49.00,43
Faktum,Rene Bieder,$39.00,18
Appetite Pro,Dzianis Serabrakou,$39.00,10
Amasis™,Monotype ,$35.00,20
Museo™,exljbris,$16.50,10
Calibri®,Ascender,$49.00,4
Lumios Marker,My Creative Land,$9.99,2
Mr Eaves Modern,Emigre,$49.00,12
Biotif,Degarism Studio,$45.00,16
Museo Slab™,exljbris,$16.50,12
Moreno,Typedepot,$29.00,80
Camphor™,Monotype ,$65.00,24
Viva Beautiful,Cultivated Mind,$15.00,5
Bodoni,Linotype,$35.00,14
Beaufort®,Shinntype,$39.00,40
HWT Unit Gothic™,Hamilton Wood Type Foundry,$39.95,7
Marteau™,Little Giant,$28.00,16
Notera,Mans Greback,$59.00,1
Industry,Fort Foundry,$29.00,16
Mirador,Rene Bieder,$30.00,22
Gibson™,Canada Type,$48.00,8
Versus,Latinotype,$29.00,9
Steradian,Emtype Foundry,$50.00,16
Blend,Typesenses,$19.00,21
Seol Sans®,Monotype ,$179.00,10
Neue Frutiger®,Linotype,$89.00,40
Quickpen,Trial by Cupcakes,$29.00,2
M XiangHe Hei TC,Monotype ,$179.00,10
Clarendon®,Bitstream,$29.00,14
Adobe Garamond™ Pro,Adobe,$35.00,6
Nocturne Serif,BORUTTA GROUP,$29.00,20
Manus Smooth,JOEBOB graphics,$25.00,1
Revista,Latinotype,$20.00,26
Univers® Next,Linotype,$89.00,59
Neue Swift®,Linotype,$89.00,12
Belluga,Nicky Laatz ,$20.00,6
ITC Blair™,ITC,$49.00,12
Blooms,DearType,$24.00,4
FF Real™ Text,FontFont,$65.00,39
Cervo,Typoforge Studio,$25.00,8
Sucrose,Yellow Design Studio,$20.00,22
Fabrikat,HVD Fonts,$40.00,14
Rockwell®,Monotype ,$35.00,9
Qualion Text™,ROHH,$40.00,20
Bauer Bodoni™,Linotype,$35.00,13
Local Brewery,Cultivated Mind,$25.00,8
Univers® Cyrillic,Linotype,$35.00,27
Aire,Lián Types,$20.00,13
Praxis®,Linotype,$79.00,10
Cooper BT,Bitstream,$29.00,11
FF Super Grotesk®,FontFont,$55.00,12
Mrs Eaves XL Serif,Emigre,$49.00,12
Rollerscript,G-Type,$72.00,2
Konsens,Hubert Jocham Type,$39.00,18
Compass Next,TipografiaRamis,$35.00,7
Filson Soft,Mostardesign,$25.00,16
Hope Sans™,Monotype ,$49.00,12
Freeland,Trial by Cupcakes,$10.00,2
Janson® Text,Linotype,$35.00,8
Mindset™,PintassilgoPrints,$9.00,3
Lust,Positype,$50.00,6
Posterama™,Monotype ,$35.00,63
Marseille,Louise Fili Ltd,$35.00,6
Grand,North Type,$27.99,12
Quiche,Adam Ladd,$22.00,52
Madina Script,Set Sail Studios,$12.50,4
Coco Gothic,Zetafonts,$15.00,36
Beautifully Delicious,My Creative Land,$19.99,6
Supernett cn™,FaceType,$19.90,7
Filson Pro,Mostardesign,$26.00,16
DIN Next™ Slab,Linotype,$49.00,14
DIN® Next Arabic,Linotype,$149.00,7
Banda,Typedepot,$29.00,14
Placard Next®,Monotype ,$49.00,48
Blog Script,Sudtipos,$39.00,2
Radal,Untype,$25.00,14
RBNo3.1,Rene Bieder,$25.00,19
Foco,Dalton Maag,$21.50,8
Trenda,Latinotype,$29.00,16
Mila Script Pro™,FaceType,$19.00,6
Praktika,Fenotype,$25.00,40
Taberna,Latinotype,$10.00,22
Noyh,Typesketchbook,$55.00,72
Senlot™,insigne,$34.99,54
Halis Grotesque,Ahmet Altun,$19.00,32
Calluna™,exljbris,$21.95,8
Bw Surco,Branding with Type,$25.00,12
Lemonado,Mika Melvas,$22.00,8
Morgan Sans,Feliciano,$50.00,49
Neo® Tech,Monotype ,$65.00,24
Soho® Gothic,Monotype ,$65.00,28
Albertina™,Monotype ,$65.00,12
Port Blair,Rook Supply,$4.00,3
Aston Script,TRF,$20.00,1
Dress,Typesenses,$19.00,13
HongKong,Indian Type Foundry,$50.00,14
Korolev,Device,$39.00,20
Nudista,Suitcase Type Foundry,$39.00,10
FF Basic Gothic™,FontFont,$55.00,32
Alliance™,Degarism Studio,$40.00,28
FF Infra,FontFont,$49.00,20
Ciutadella,Emtype Foundry,$50.00,10
Formular,Brownfox,$25.00,13
Daft Brush,PintassilgoPrints,$19.00,2
Museo Sans Cyrillic,exljbris,$21.95,10
Above the Sky,My Creative Land,$12.00,5
ITC Caslon No. 224™,ITC,$35.00,8
Harbour,Alias Collection,$46.00,3
Brix Sans™,HVD Fonts,$40.00,12
Brandbe,Roman Polishchuk,$40.00,3
Cocogoose Classic,Zetafonts,$29.00,18
Co,Dalton Maag,$21.50,6
Montecatini,Louise Fili Ltd,$35.00,1
Couturier,Latinotype,$29.00,8
Core Circus,S-Core,$5.00,20
Adelle,TypeTogether,$49.00,14
Brilk,Typesketchbook,$55.00,40
Albertus® Nova,Monotype ,$49.00,5
Moments,DearType,$15.00,4
Ding Extra,RodrigoTypo,$15.00,6
Pluto Sans™,HVD Fonts,$40.00,32
Iconic,Zetafonts,$29.00,30
joeHand 2,JOEBOB graphics,$19.00,1
FF Trixie®,FontFont,$55.00,12
Halis Rounded,Ahmet Altun,$19.00,16
TT Mussels,TypeType,$21.00,36
FF Good®,FontFont,$5.00,196
Didonesque,Paulo Goode,$25.00,16
Stay Classy Font Duo,Nicky Laatz ,$17.00,3
SST® Japanese,Monotype ,$225.00,6
Sofia Pro Soft,Mostardesign,$26.00,8
Elicit Script™,Monotype ,$35.00,15
Intelo,Kastelov,$25.00,32
Freight Text™,GarageFonts,$239.00,20
Fairwater,Laura Worthington,$19.00,11
Bourton Hand,Kimmy Design,$5.00,34
Filosofia™,Emigre,$39.00,11
Verveine,Dalton Maag,$21.50,1
Cheltenham,Bitstream,$29.00,9
M XiangHe Hei SC Std,Monotype ,$179.00,10
City Streetwear,Cultivated Mind,$8.00,9
dT Ampla,dooType,$35.00,10
The Bartender,Vintage Voyage Design Supply,$10.00,14
TT Nooks,TypeType,$44.00,8
Adventures Unlimited,My Creative Land,$19.99,5
Manus,JOEBOB graphics,$33.00,1
Born Ready,Nicky Laatz ,$15.00,3
Scotch,Positype,$10.00,91
Neue Frutiger® Arabic,Linotype,$79.00,10
Hangbird,Mika Melvas,$35.00,1
Basic Sans,Latinotype,$29.00,28
ITC Bodoni™ Seventy-Two,ITC,$35.00,17
Uniform Rounded™,Miller Type Foundry,$25.99,18
Sacred Bridge,Bombastype,$19.99,12
Blackest,Zetafonts,$29.00,8
LunchBox,Kimmy Design,$10.00,4
Acta,DSType,$40.00,12
Block Gothic™,Red Rooster Collection,$45.00,10
Bookmania™,Mark Simonson,$29.00,10
Trajan™ Pro,Adobe,$35.00,2
Centrale Sans,Typedepot,$29.00,18
Neuzeit® Office,Linotype,$89.00,8
TT Rounds Neue,TypeType,$29.00,54
FF Scala® Sans,FontFont,$59.00,20
Nordique Pro,Leksen Design,$24.00,5
Din Condensed,ParaType,$30.00,2
Beloved,Laura Worthington,$19.00,9
Bayshore,Set Sail Studios,$16.00,1
Playland,Monotype ,$35.00,1
Core Deco,S-Core,$5.00,14
Guess,DearType,$25.00,16
Harman,Ahmet Altun,$9.00,17
Multiple,Latinotype,$29.00,90
Qanelas™,Radomir Tinkov,$29.00,20
Vodka™,Fenotype,$15.00,6
Sanchez,Latinotype,$26.00,12
Essonnes,James Todd,$40.00,16
Manofa,The Northern Block Ltd,$24.19,16
Decima Mono,TipografiaRamis,$39.00,12
Fabulous Script,Lián Types,$25.00,4
Amberly,DearType,$35.00,16
Nexa Script™,Fontfabric,$40.00,6
Rion,Indian Type Foundry,$50.00,12
Salom,Schriftlabor,$19.00,23
FF Market®,FontFont,$59.00,6
Isabel,Letritas ,$30.00,15
Sassoon Infant®,Sassoon-Williams,$48.00,10
Fieldwork,TipoType,$19.00,26
Stempel Garamond™,Linotype,$35.00,8
Aaux Next®,Positype,$22.00,18
Marujo™,PintassilgoPrints,$5.00,8
Nimrod®,Monotype ,$35.00,23
Tobi Pro,RodrigoTypo,$15.00,13
FF Scala®,FontFont,$59.00,12
Neue Aachen™,ITC,$35.00,36
Nutmeg,W Foundry,$25.00,36
Festivo Letters,Ahmet Altun,$5.00,19
Heroe,Lián Types,$15.00,9
Mohr Rounded,Latinotype,$29.00,27
Akhand Soft,Indian Type Foundry,$39.00,8
Corporate S Std™,URW,$90.00,17
PhotoWall,DearType,$25.00,16
Carisma™,CastleType,$49.00,30
Foro,Hoftype,$39.00,16
Brevia™,HVD Fonts,$40.00,14
Hudson NY,Andrew Footit,$12.00,6
Neue Kabel®,Linotype,$49.00,18
FF Cocon®,FontFont,$55.00,36
Neuzeit® S,Linotype,$35.00,2
Eldwin™,The Northern Block Ltd,$25.99,12
Palm Canyon Drive,RetroSupply Co.,$19.00,6
True North,Cultivated Mind,$10.00,20
Reklame Script™,HVD Fonts,$30.00,5
Stem,ParaType,$50.00,12
Diodrum,Indian Type Foundry,$39.00,12
Sonder,Fenotype,$10.00,14
Sabon® Next,Linotype,$89.00,12
Hefring Slab™,The Northern Block Ltd,$21.95,40
Diploma Script,Latinotype,$19.00,3
AmpleSoft,Soneri Type,$50.00,6
Variable,MADType,$34.00,10
Nexa Slab™,Fontfabric,$29.00,24
Acta Display,DSType,$40.00,12
Bushcraft,Cultivated Mind,$8.00,16
Sol Pro™,Canada Type,$29.95,20
Sequel 100 Wide,OGJ Type Design,$70.00,12
Grimpt,Typesketchbook,$45.00,12
Liesel™,Magpie Paper Works,$26.00,8
BeachBar,DearType,$40.00,18
Hipster Script Pro,Sudtipos,$79.00,1
Pinto™,FaceType,$1.00,14
Rumble Brave Vintage Fonts,Alit Design,$10.00,8
Addictive,Studio&Story,$15.00,2
Bank Gothic,Bitstream,$29.00,2
Qanelas Soft™,Radomir Tinkov,$29.00,20
Muara,Surotype,$22.00,4
Instant,Jérôme Knebusch,$83.00,5
Treadstone,Rook Supply,$14.00,8
Madelyn™,Fontfabric,$37.00,4
ITC Bauhaus®,ITC,$35.00,10
Monorama,Indian Type Foundry,$50.00,4
Orpheus Pro™,Canada Type,$79.95,4
Minute™,PintassilgoPrints,$24.31,1
Yana,Laura Worthington,$49.00,3
TT Bells,TypeType,$29.00,10
Core Mellow,S-Core,$20.00,42
Dobra,DSType,$26.00,10
Urbane Rounded,Device,$39.00,7
Sunbeat™,PintassilgoPrints,$26.00,3
Calgary Script,Sudtipos,$99.00,1
FF Milo® Serif,FontFont,$69.00,24
Bank Gothic®,GroupType,$5.99,6
Lemon Yellow Sun,Hanoded,$15.00,6
ITC American Typewriter™,ITC,$35.00,18
Juicy,Positype,$5.00,12
Canvas Acrylic Megafamily,Yellow Design Studio,$20.00,39
Galiano,DearType,$25.00,12
Saturday Script,Nicky Laatz ,$16.00,2
DIN® Next Decorative,Monotype ,$35.00,12
